Symbol,MarketCapitalization
TMO,199228948480
SHEL,196495949824
ISRG,195880730624
CAT,192884539392
WFC-PL,190362451968
GS,187940667392
GE,187138768896
INTU,183244783616
QCOM,181470052352
RY,181084291072
TXN,179387482112
VZ,179119751168
BKNG,175013363712
HSBC,172819431424
HDB,172544720896
T,170987159552
DHR,164584800256
CMCSA,163737649152
PLTR,163721314304
FMX,161842020352
BLK,161814495232
SPGI,159460065280
RTX,158697078784
NEE,156697673728
LOW,153737347072
PGR,153066815488
UBER,151948083200
AMGN,149573763072
AMAT,149349040128
SCHW,149208350720
ETN,149195866112
UL,147277266944
HON,147144376320
SYK,145796071424
MUFG,145663049728
PFE,145641652224
TBB,145451401216
ARM,144985440256
KKR,144916201472
UNP,142470381568
TJX,141554221056
SHOP,141303005184
TBC,139572100000
PDD,137488236544
C,136605720576
TTE,136520572928
COP,135099416576
ANET,134580166656
BSX,133882101760
PANW,132742758400
BHP,132345487360
APP,127212863488
SONY,126492024832
DE,124832776192
WFC-PC,124737626112
ALIZY,124012355584
ALIZF,123869462528
ADP,123659231232
LMT,122665525248
SNY,121623298048
SNYNF,120660623360
BMY,119338106880
VRTX,118442737664
BA,118421372928
NKE,116653580288
GILD,116389150720
FI,116059471872
CB,115535945728
SBUX,114174033920
IBN,112557555712
MU,112373227520
MMC,112103497728
MDT,109404717056
UPS,108881469440
ABBNY,108327952384
ABLZF,108296249344
PLD,106556481536
ADI,106480517120
BUD,104743141376
UBS,104300150784
RIO,103061200896
MRVL,102235136000
SPOT,101520441344
MELI,100631797760
APO,99430842368
TD,98979938304
SMFG,98901409792
SHW,98743943168
AIQUY,98313519104
AIQUF,98048024576
AMT,97738170368
LRCX,96771956736
MO,96451633152
ENB,95655993344
INTC,94713413632
INFY,94686355456
USB-PH,94481252352
SO,94436663296
EQIX,93960208384
TT,93943021568
ELV,91141103616
SNPS,90617864192
BN,90548051968
MSTR,90505314304
CTAS,90177527808
WM,89926057984
ICE,89784057856
CI,89734930432
APH,89697230848
CRWD,89696641024
GS-PA,89556918272
PH,89423077376
RELX,89416294400
PYPL,89271173120
KLAC,89113296896
MCO,89013420032
CDNS,89009258496
CMG,88868118528
CME,88655527936
DUK,88070676480
DELL,87628668928
PBR,87511384064
PBR-A,87511359488
MS-PA,85565644800
ABNB,85168922624
MDLZ,84604370944
REGN,84384530432
GS-PD,84102774784
MSI,83204456448
WELL,83185057792
PNC,82860195840
AON,82613682176
HCA,82090901504
USB,81308762112
ITW,81287225344
MAR,81278148608
COIN,80254697472
CEG,80096501760
RACE,79928508416
SCCO,79926263808
AAIGF,79664250880
ZTS,79098281984
IBKR,78576492544
