Symbol,MarketCapitalization
AAPL,3673743949824
AAPL.US,3673743949824
NVDA,3554477867008
MSFT,3290826539008
AMZN,2319083372544
GOOGL,2143981535232
GOOG,2143977996288
META,1537237712896
TSLA,1186085076992
TSM,1059612131328
BRK-A,1013943107584
BRK-B,1013941927936
AVGO,796613083136
WMT,766045257728
LLY,746287792128
JPM,691109691392
V,598122364928
UNH,532816822272
ORCL,521486893056
XOM,504468406272
MA,478318428160
NVO,472804065280
COST,439050567680
HD,423709081600
PG,414557700096
NFLX,392350859264
JNJ,362275012608
BAC,360625373184
CRM,352051691520
JPM-PD,333202849792
JPM-PC,332667420672
ABBV,311317037056
BML-PH,310487351296
BML-PG,308010254336
BML-PL,301006913536
SAP,298087383040
BAC-PE,290652225536
CVX,284072640512
TMUS,283089928192
ASML,282448429056
BML-PJ,279171858432
KO,271046770688
MRK,261944229888
BAC-PB,251778334720
BAC-PK,251319140352
WFC,245250244608
BAC-PL,241314086912
CSCO,239045246976
ADBE,236924436480
ACGBF,232348499968
ACGBY,232348483584
NOW,231842529280
AMD,229400412160
TM,229151129600
BX,227051126784
ACN,224966885376
PEP,220190687232
LIN,218770669568
IBM,217060409344
MCD,214606200832
AXP,213165031424
DIS,210974507008
MS,209950752768
AZN,209385537536
PM,205999423488
NVS,204965150720
ABT,201145090048
BABA,200926642176
WFC-PY,200541241344
