Symbol,MarketCapitalization
ADERY,299288512
NATR,299119968
IMMP,298752416
PKE,298029696
NYXH,296582624
UHG,295294880
ANVI,295076992
ALDX,294770496
PDLB,294667488
EIC,294193440
BHR-PD,293903296
PLBC,293863968
IMMR,293063200
ITOS,291905856
ATNI,290646048
LNKB,289993536
PMM,289531040
ANGO,288502816
MG,288396096
MNDR,288065376
ABXXF,287008960
LPAA,286637504
MRSN,286596544
OSUR,286441728
BHR-PB,286341536
SATL,286066880
ACCD,285101344
RITR,284743712
RGP,284506048
IONR,284084992
CMPS,283262208
MVBF,282620512
PSNL,281885952
ARTV,281755904
ARQQ,279964544
TATT,278776192
ALFNF,278445280
SGC,278127712
ESEA,278088448
TBRG,277904000
BYON,277655872
GMGI,277141472
PKBK,276911168
BHR,276797504
PINE,276307936
CCCC,276003008
TMC,275007456
GHG,274392192
ONTF,273645760
OZ,273531744
AUDC,272160896
ACRS,272151712
AFRI,271479936
FATE,271067744
AEF,271014624
EOT,270779520
OPBK,270461056
VPV,269035040
LYEL,268789024
GENK,268632000
WTI,268191312
MCR,267639120
RLTY,267558400
HDSN,267123136
CUBWU,266667008
HBB,265738000
HITI,265425664
DRUG,265173136
TECX,265073648
LFCR,264786128
ABANF,263922288
AZUL,263916432
FTK,263395104
TSBK,263161904
TNYA,263012048
BPRN,262794208
MMT,262705952
VIRC,262585136
IRBT,262500096
ALTG,262059648
PANL,261713712
NRGV,261646400
HRTX,261603424
ABEO,261478064
INSE,261264688
IBEX,261145456
ABHBY,260635200
ELDN,260463360
BNY,260344096
CHMG,260008256
ABCCF,259593568
BWFG,259489984
ACB,259174064
PAL,258134592
ODV,258075712
LUNG,257658624
PLL,257023104
ANIK,256883840
ADBRF,256570144
PERF,255640992
CHGG,255552160
AMPY,255324688
GHI,254630848
AHT-PH,254446144
LXEO,254239088
NVX,254115552
ICG,254028672
MODV,253535680
OCGN,252953168
SBT,252673232
SMID,252552480
SRG,252081984
MBCN,251493392
CPS,251234256
AITLF,251113120
ESOA,250880400
ATNFW,250778200
LAZR,250719632
FVCB,250493920
ASUR,250403280
MBAVU,250250000
ATAI,250024976
MYPS,249368000
OXSQG,248443900
BLFY,247795776
HROWL,247480400
AVIR,247476896
AHT-PF,247180256
SERA,246539264
TTEC,245803840
HLXB,245669040
NWFL,245261248
GOCO,245088848
HSHP,244962000
NVVEW,244781900
VSTM,244340768
CDZI,243576080
KFS,243467760
ALPIB,243462304
ILPT,243411424
OVLY,243071280
LCNB,242273856
FUND,242181328
CHMI-PA,241318800
NAUT,241082880
AHT-PG,240904080
TZOO,240809760
DSX,240359040
FREY,240292592
TCI,240259488
CFFI,240228544
ACMDY,240135312
TG,240039232
CLBR,238425008
AHT-PI,238260400
TLS,238132176
ANTVF,237617856
ETON,236917952
LFMD,236917184
AEVA,236006672
TBI,235584432
ARL,235173120
LXRX,234969792
NRDY,234240656
STRO,234182752
PFMT,234091280
ISTR,234014432
ACMLF,233458544
PHT,233265712
FUNC,233258448
DMAC,233045104
BRCC,232581200
ONIT,232135328
AMNF,231986944
MFM,231886192
FINW,230006992
IVA,229750240
LPAAU,229080000
CIO,228878368
RENB,228552480
LANDP,228254384
NEGG,227713744
INGN,227465728
VABK,227350624
LGCL,226977232
FXNC,226949088
FF,226693376
PGEN,226387728
MAPS,226180336
ABBRF,225702224
CTRN,225635744
NXDT,225555968
PWOD,225425984
HMST,225347472
TCRX,224690224
VTN,224579024
ONL,224350688
BMEA,224317552
ACAZF,223944944
HWBK,223575072
BCBP,222476400
MFIN,222372640
SOPH,221904912
CIA,221585232
AHT-PD,221409792
AMPX,221203504
SIFY,220999024
LANV,220561600
NC,219419888
AOMR,218890208
FCEL,218838240
MHI,218604496
INBX,218586096
MED,218318480
CDTX,218012288
UTMD,217979328
AENT,217502704
ATGL,217140368
AVNW,216752032
MACI,215567360
ALEC,215451728
BNTC,215389040
EVC,215069184
VLN,214887600
MOLN,214022960
AMGRF,213025040
MGNX,212767936
CPSS,212767584
GPJA,212088352
KVAC,211284144
MAV,210925008
ALCO,210672736
CMPX,210511152
BKN,210426928
FSFG,210332352
DRTS,210308992
STRS,210241200
HPH,209978912
RELL,209956576
MYFW,209421040
NNBR,209274976
ESSA,208810224
RGCO,208772128
IVCB,208744016
SANG,208604480
MIO,208364608
AFCG,208331120
FOA,208256080
LOGC,207652288
AKA,207594208
ADPXF,207391712
FULC,206585216
PVBC,206377200
FFNW,205183120
DOUG,205084096
HQI,204528240
TCX,204466144
WBX,204282816
ARAY,204146528
CKPT,203631536
AXR,203566832
PROF,202486080
MITT,202437232
ESCA,202331040
ALKEF,202330256
AMRN,202008096
CLPR,201374832
KYTX,200747952
KNOP,200542960
ACRV,200517776
JUNS,200217280
ETX,200215600
ADCT,200146560
TRVI,199850800
NKSH,199098352
FCCO,198580496
CLLS,198186128
SLDB,198174816
TDUP,197938928
LNZA,197782000
ENO,197568784
PAYS,197058112
RDCM,196935536
BETR,196803696
HFFG,196711616
BWAY,195945456
GNFT,195883008
BCOV,195625504
SEVN,195526048
BZFD,195325136
MRT,195202608
BAER,195116288
GHIX,194997904
MDWD,194975296
NUTX,194970816
EARN,194690032
CDLX,194649792
ADFJF,194424720
SWKH,194385552
CHSN,193720688
VUZI,193608656
GASS,193259552
EMP,193086512
