Symbol,MarketCapitalization
MTSI,9986800640
WMS,9982010368
STN,9980172288
NIO,9964423168
PRI,9940668416
KEP,9924779008
VNOM,9883935744
AR,9882568704
BILL,9880858624
ENPH,9878971392
AFGE,9874969600
AMIGF,9857084416
BIRK,9825335296
APPF,9783104512
FBIN,9770375168
ULS,9768342528
FRT,9737013248
JDEPY,9731438592
QGEN,9728189440
RGLD,9716234240
CRS,9712777216
ORI,9696019456
INGR,9633551360
PNFP,9622434816
FLR,9613462528
AGESF,9607677952
TPX,9590854656
GLOB,9583310848
GS-PC,9568868352
AKBTY,9495648256
BIO,9468293120
AES,9449548800
REXR,9409480704
AIZN,9377532000
EDR,9362386944
HAS,9360516096
PAC,9342197760
CMA,9315162112
PEN,9314631680
ALNPY,9282737152
CBSH,9255085056
AGESY,9248187392
GGAL,9236267008
DRS,9235387392
MKTX,9198365696
MASI,9193455616
SIRI,9182197760
BSAC,9171192832
BIO-B,9099710464
VNO,9089467392
KNX,9074102272
HSIC,9038125056
FRT-PC,9008961536
ALTR,9007345664
FOUR,9006568448
CFR,8994487296
AGNCM,8986913792
MLI,8977103872
NYT,8951898112
GL,8949387264
SUM,8927757312
ITCI,8914969600
BRX,8913879040
GLBE,8880634880
BRKR,8865451008
TTC,8834124800
ANGPY,8831392768
HQY,8806239232
AGNCN,8799215616
ROIV,8793635840
DCI,8784670720
FSV,8767323136
GPK,8767088640
X,8747893760
SKM,8741766144
VERX,8732200960
RZB,8731235328
AXTA,8722520064
OGE,8660858880
TFX,8660357120
DBX,8645977088
LNW,8621500416
FYBR,8595997696
CHE,8530501632
FN,8518241280
PLNT,8490679808
ACDSF,8489252864
AGPPF,8485179904
ALNPF,8484845056
WF,8462468608
CX,8458338304
AGNC,8457862144
SSB,8449394176
LPX,8425774592
AMH-PH,8423344640
OTEX,8415101952
RRC,8395161088
EGP,8365455872
GAP,8360243712
RGEN,8353022976
ATI,8341763072
RVMD,8339889152
BROS,8323283968
AGRPY,8296783872
MHK,8296031744
ACKDF,8290632704
AGRPF,8276579328
INFA,8275526656
ALEGF,8274224640
PEGA,8269238784
PAAS,8261993472
MTCH,8250843136
KT,8245238784
AGI,8225371648
AMH-PG,8224895488
ENSG,8223651840
PATH,8221872128
LSCC,8189972480
ADC,8180642816
BERY,8174601728
GTLS,8159795712
TREX,8155805184
ONTO,8149070848
KBR,8147718656
MOS,8134888448
AS,8134524928
FLS,8107212800
HESM,8100843008
VFC,8093937152
APA,8079642624
CZR,8052992512
KD,8052835328
IVZ,8044975616
NNN,8042990080
ATH-PA,8026675712
HRB,8021315072
UFPI,8020518400
BILI,8005322752
S,7998202368
G,7982098432
MARA,7978190848
CCCS,7968895488
BBWI,7965885440
RLI,7928484352
WH,7925173248
TEM,7918108672
ASND,7892556288
CIB,7892271616
VOYA,7891832832
ONB,7881631232
ESAB,7877596672
SPXC,7875879424
AXS,7867790848
MKSI,7862538240
SNV,7855324160
PARA,7836871680
ASR,7829732864
PB,7827900416
SMAR,7817460224
IONQ,7779292672
CE,7750267904
PARAA,7739130368
SSD,7731198976
ALV,7697988096
MIDD,7694035456
MNSO,7692962304
