Symbol,MarketCapitalization
BRACU,49947216
OMGA,49829580
MARX,49699804
ASRV,49062320
NEUE,49045956
MSAI,49010332
ALSA,49008440
AGORF,48911148
LTRPB,48784560
LTRPA,48771840
LVLU,48755844
MNY,48743320
OMIC,48728532
RAVE,48695396
DHAI,48190136
BCTXW,48083940
AOGO,48066508
ACFN,47900160
RVPH,47820916
FTII,47472888
CVU,47452496
HOUR,47443724
VIVK,47430000
ANPCY,47411616
DTIL,47407156
USEG,47400844
GLST,47347188
AKTAF,47216520
EHGO,47164952
TORO,47161932
DUOT,47099472
RECT,47097452
CRWS,46979524
AKOM,46965028
UCL,46864500
FBIO,46857952
BGM,46827592
TCBS,46734752
NXN,46720320
BCG,46653024
BEEM,46537788
CLGN,46486820
ACAB,46398128
LINK,46312468
FTHM,46145412
FRLA,46045808
KACL,46012036
ICCM,46010828
PRT,45986344
ZEPP,45969532
SNTI,45886400
IGTA,45883756
AMPGW,45783990
ANGH,45702020
GANX,45357924
SCYX,45342124
BLAC,45261664
ICMB,45235468
NTRB,45202236
SYT,45081620
DWSN,45040568
FORL,45037868
ALMU,44938296
JG,44892620
PXLW,44828544
FPAY,44784304
UG,44610848
SHLT,44508420
ACHL,44425056
PXS,44409568
DUET,44371164
ARKR,44331168
RPID,44325224
ICAD,44275056
VYNE,44254200
FARM,44237856
LVTX,44179464
ESLA,44138504
RDIB,44116800
RDI,44116800
CFSB,44113652
FSEA,44087740
FLNT,44048448
MTC,43991244
RLYB,43976852
DXR,43971944
RFIL,43967764
AATC,43953568
PASG,43854780
RAND,43825720
ANDC,43752032
TRSG,43549372
IZEA,43434752
SPRU,43423848
ANTX,43324408
RENT,42841352
ANEB,42789780
LICY,42724616
AXDX,42574476
MESA,42552596
JRSH,42417312
APGOF,42383948
BODI,42303196
BRFH,42174012
HHS,42130304
SELX,41919808
TECTP,41813128
DSWL,41672140
COCH,41632408
SPAI,41314204
VTVT,41273708
TACT,41042640
HSON,40967700
FGEN,40842080
LEXX,40839084
INTS,40481000
SJ,40464984
AUUDW,40424750
DBGIW,40382650
CALC,40310880
AJLGF,40253460
SOND,40165944
AINMF,40048028
AGMH,40020420
BWEN,39805200
DECA,39725864
MNDO,39650920
MDAI,39601444
BTCM,39593864
LIXTW,39486820
RELIW,39236960
ISPO,39151384
EDRY,39031348
BSLK,38942048
SOHO,38888668
FGF,38875072
AGAE,38813280
AP,38781996
OCX,38720960
GDST,38551744
HFBL,38401364
MCAG,38284568
TPST,38278484
MOGO,38122272
AFMD,38030136
USIO,37982420
NLSPW,37773860
LTRN,37746448
BGFV,37681668
BTM,37584628
SWIN,37519736
LUMO,37448524
BRNS,37412504
WAVS,37399688
SCOR,37363876
HKIT,37210236
FATBP,37112070
TURN,37086372
CENN,37039920
ABVN,36925996
BNAI,36919716
RAPT,36880980
NRT,36762360
BCTX,36545032
OKYO,36543204
ACMT,36442280
FTCI,36298892
SYPR,36144540
STIM,36113528
FBIOP,36098924
MOBX,36095256
TPCS,35969524
SURG,35887468
FBRX,35875764
DIST,35841904
MATH,35687264
ACOGF,35660568
MYNA,35635352
MTEN,35631048
