Symbol,MarketCapitalization
ROG,1999474432
PSEC,1997686400
DRH,1997517440
CMPR,1990145024
INTR,1988597632
TNDM,1988027648
BBUC,1984811776
AAOI,1984792960
JAMF,1984475264
GOGL,1983189120
AILIM,1982742016
VRNT,1981695744
RUM,1979058560
FBNC,1969941632
PRG,1968326400
IVR-PC,1964443008
HG,1964017664
GTX,1962634752
ASTH,1958556672
AMC,1953535872
RILYK,1948515000
RILYT,1948515000
SBLK,1942860160
CHCO,1942298240
RVT,1928585088
CNXN,1925968768
GLP,1924479744
VRE,1924211584
TARS,1923577600
EDN,1921495552
FCF,1919616512
NABL,1914471808
LKFN,1912701440
GO,1912606720
HRMY,1909978368
WMK,1909517312
BBU,1907185152
BWLP,1905808896
EVGO,1903794560
VVX,1901520128
ENLT,1901363200
GCMGW,1900409000
CHEF,1898616064
CLMT,1898480512
ZGN,1895644160
AG,1894788224
SIMO,1892905984
PD,1892355584
TROX,1888777728
MNKD,1875287680
MQ,1873929600
PAX,1872249216
AILIN,1870751360
HPK,1867718784
GDRX,1867595904
MSDL,1865057664
CLBK,1864070144
DSGR,1861804672
PRM,1860020224
LZB,1859593344
APLUF,1859080192
TDOC,1857682048
IRON,1854202368
UPBD,1851034496
ALSSF,1847730176
INSW,1847189632
TXG,1843652352
NWBI,1843478016
TALO,1842800512
CVI,1841727872
IART,1841121280
OI,1840299392
WWW,1839937280
SPT,1838493056
OBDE,1835552128
NEXT,1827242880
APOG,1821049472
MBIN,1815915520
NBHC,1814384384
MSGE,1813356160
OXLC,1812547328
PROK,1811824000
EPC,1810479744
TY,1791789696
GLPG,1790940800
AJMPF,1790799360
PRDO,1790114688
GPCR,1788824192
HE,1788472448
MRX,1784616064
SONO,1783838208
DAN,1780342144
ECAT,1777014016
DNUT,1773100032
CODI,1772533504
LGF-B,1766969728
LGF-A,1766967808
IAS,1766596096
SJW,1765760768
LC,1763587328
CLDX,1763430528
GTY,1762757504
AILLO,1762578688
VRTS,1760866176
BHE,1756290816
PEB,1752311808
ENVX,1752064256
BCAT,1751630464
HLIO,1750213248
ARCO,1748503040
WTTR,1741926016
CSTM,1740565376
RCB,1737887000
RCC,1737887000
GDV-PH,1736712832
CUBI,1734866304
AILLP,1731449984
RZLV,1730429184
MLKN,1729137664
MLNK,1727261440
DFIN,1724566016
LTC,1723983360
BIGZ,1723771008
XHR,1717681152
AIIXY,1716279040
CERT,1715993600
CLOV,1713792768
SAND,1712789888
KSS,1711952896
KN,1710297984
NGL-PB,1709404672
RXST,1704074240
NEP,1702322560
THS,1700864000
ARVN,1699962240
BV,1699549952
NWN,1697583616
NIC,1695952384
EVO,1695937920
DAVA,1694450432
DVAX,1694445312
HMN,1694310016
UCTT,1692457472
SASR,1689429248
TVTX,1689335808
AIXXF,1688700032
AILIH,1685457920
BOWL,1685103616
NGL-PC,1681436672
HELE,1677991808
WT,1672890752
NGVT,1672785536
MNR,1671895552
GNL,1671563520
CTS,1671410048
SCL,1670906240
KOS,1670508288
WKC,1669728128
HWCPZ,1668713000
ATRC,1662975104
LOMA,1656249984
STEL,1654424960
WGO,1654410240
ADNT,1654053888
TNC,1652689280
VBTX,1651951872
NTB,1647200000
NAVI,1638359424
PZZA,1636323456
IBTA,1635836800
FDP,1633380480
STBA,1628332928
BSTZ,1628007296
HOPE,1627561728
NAPA,1625099008
RLJ,1624003200
BCRX,1623922688
BMEZ,1616960896
NTCT,1612921984
SDHC,1612403968
TCBK,1612313728
STEW,1609720064
REVG,1601036928
MCRI,1599207808
CSGS,1598644352
HLX,1595570944
PDO,1594868992
CMRE,1594524800
MMI,1587112960
LEG,1586024064
DMLP,1581149440
SRCE,1580075520
ALPKF,1580047488
MXL,1574191232
DNOW,1572871552
SPNS,1572235264
ANDE,1571989760
VECO,1571620608
INFN,1569997312
DAC,1568897280
UMH,1566161024
RCUS,1565763584
DCOM,1563714432
NMRA,1560679168
CMPO,1557868288
FINV,1556471424
VRDN,1554945280
PMT-PB,1552733440
IMCR,1549515776
DHT,1548439808
FSM,1548022784
PMT-PA,1545630848
SVV,1544720896
XPRO,1540359424
BFS-PD,1539604864
KW,1539014400
OPEN,1537400576
MTTR,1536980352
PLAB,1536963200
GSBD,1534244736
ZUO,1534024064
BUSE,1534004992
SAFE,1532306560
KEN,1530524288
PX,1529235072
QCRH,1528659712
BB,1528544256
KNSA,1525619456
ERO,1524767104
AHL-PC,1523455488
KRP,1523126144
GDYN,1520067712
TILE,1518225792
WABC,1517899648
KLG,1511497216
HLIT,1511373952
VITL,1509427584
USPH,1508141184
GNL-PA,1505399680
ARHS,1503670912
SDGR,1503076992
LADR,1501027200
SYRE,1499943424
DCBO,1499333504
ARIS,1497000704
ASAI,1495472384
TGI,1494407552
SCS,1494146688
MYGN,1489335936
ALGT,1488057216
RBCAA,1486048000
SABR,1485537920
KRNT,1482668288
MODG,1481621504
INMD,1479232128
UNFI,1477362816
NSSC,1465896576
VET,1464508544
AFYA,1463447424
NMM,1461740160
SOC,1461615360
PLAY,1460829312
AIFLF,1460431488
AMRC,1460006656
ELME,1459210880
UP,1458427008
CDRE,1454984704
GAB-PH,1454735104
AGLFF,1453528320
TWKS,1451529600
ATSG,1446717824
ROOT,1445220992
OCUL,1443252096
CWH,1442415488
DESP,1440992256
ARQT,1440823936
QSIAW,1439027000
MHLA,1437900288
AMPL,1436445056
FOR,1435478272
UNIT,1435396224
SNDX,1434009216
INDV,1431731200
ADEA,1428093568
INVZW,1422531000
DQ,1421073664
NRIX,1420976256
FLNG,1420774400
AGRUF,1418270208
TPC,1416788352
SFL,1414438144
PBI,1413633792
SBH,1413089792
ALGGY,1411715968
BFS,1410982912
HTZ,1410773888
ALEX,1410530816
DOLE,1409978112
LNN,1404779264
MRTN,1400087936
BTT,1396879488
GEL,1394865024
FSLY,1393179008
MDXG,1391578624
LZ,1391217152
NTLA,1390238848
TNK,1389369088
UTZ,1388280832
OLPX,1385508992
BY,1384374400
IMAX,1381337728
NVEE,1380767744
NX,1377871232
AMSC,1376522112
JBGS,1372764288
RES,1371521408
AOSL,1371124608
UTI,1369104512
KARO,1365483904
GIII,1362174976
SPRY,1360596992
ATEC,1359555200
DAWN,1357387136
NRP,1357367296
HROW,1356209280
UVV,1355382272
SPHR,1354776320
SGML,1351988480
GABC,1350956288
IMKTA,1348412416
IDT,1345718400
CTOS,1344568320
LILA,1343963136
LILAK,1343958784
TASK,1342293248
IRS,1340940160
OCSL,1338953472
HCXY,1337949440
ATEN,1337236096
AHL-PD,1336631424
WBTN,1336604672
ULCC,1336455936
NVAX,1329535488
AMWD,1327771520
BCYC,1326373632
CNNE,1326316800
COUR,1325808000
CDNA,1324757376
EIG,1324041472
MFIC,1322302336
TBLA,1321297408
ACDC,1321212800
AMGDF,1316585216
BLBD,1315889024
KALU,1312941696
BLND,1312920960
AHCO,1307874688
FSCO,1307162880
BHLB,1306455168
ARDX,1302696960
THRM,1298052992
EVH,1294042496
SAFT,1292834944
NTST,1289998976
BMBL,1287394176
MRVI,1285367552
FOXF,1283848704
JKS,1281592832
DSP,1281548160
LB,1280000000
NMFC,1279116800
MD,1278760320
ARLO,1278344320
PGNY,1277299456
EVEX,1276892800
OXM,1275872512
AUPH,1271429632
PRAX,1269793280
CRAI,1269771904
FORTY,1268474368
CGAU,1267926016
DEA,1267141120
AVDL,1266844672
QNST,1263667328
SA,1258246144
UDMY,1251830528
MSC,1251823616
CARS,1251410688
FVRR,1250890240
ARI,1250483840
KRUS,1250145664
COHU,1249248256
BLX,1248203264
AEGXF,1248133760
AIV,1245991808
PFBC,1245277056
PLYA,1244723200
PEBO,1244547840
ULH,1244042368
STAA,1243723648
AOTUF,1240575872
HCI,1239492992
AGLY,1238138496
AORT,1235798656
PDFS,1235691776
SPH,1234985344
RC,1233646976
SSRM,1232433280
ADMNF,1232341888
SCSC,1224969984
TWO,1222033536
PHR,1220749824
RCKT,1214212608
GAM,1210685696
PSFE,1206951808
OPINL,1206951000
NYMTN,1205548544
HSAI,1203392256
ESTA,1202030848
PRO,1201571328
PL,1200316928
RDFN,1198886656
OCFC,1196762880
CRCT,1196614272
GLOP-PA,1194965248
DK,1194540032
CIM,1192102912
VTEX,1192101888
BRDG,1189044864
